# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  121       4.556815793483e-10       1.388168657190e-13      -4.899430093753e-12       0.000000000000e+00       6.104271912036e-12       9.390538285424e-13      -5.830088577044e-15 
  122       4.603014119187e-10       1.399807298611e-13      -4.974326457868e-12       0.000000000000e+00       5.968620590189e-12       9.229097312696e-13      -5.756777807818e-15 
  123       4.649300214262e-10       1.410881013337e-13      -5.047724097723e-12       0.000000000000e+00       5.836399168213e-12       9.070785918432e-13      -5.682569417041e-15 
  124       4.695665760933e-10       1.421378497553e-13      -5.119551321778e-12       0.000000000000e+00       5.707560599183e-12       8.915590465515e-13      -5.607603427832e-15 
  125       4.742103565397e-10       1.431289404219e-13      -5.189737583182e-12       0.000000000000e+00       5.582118592235e-12       8.763584351859e-13      -5.532053700354e-15 
  126       4.788605744805e-10       1.440603897839e-13      -5.258212597004e-12       0.000000000000e+00       5.460070139712e-12       8.614825702694e-13      -5.456100274661e-15 
  127       4.835163707227e-10       1.449312670399e-13      -5.324906375664e-12       0.000000000000e+00       5.341395030806e-12       8.469356883913e-13      -5.379929432518e-15 
  128       4.881768131606e-10       1.457406957301e-13      -5.389749264371e-12       0.000000000000e+00       5.226055365203e-12       8.327204015405e-13      -5.303733759235e-15 
  129       4.928408947717e-10       1.464878553300e-13      -5.452671976551e-12       0.000000000000e+00       5.113995066726e-12       8.188376484397e-13      -5.227712205486e-15 
  130       4.975075316126e-10       1.471719828435e-13      -5.513605629285e-12       0.000000000000e+00       5.005139396980e-12       8.052866458789e-13      -5.152070149141e-15 
